,Company Location,Unnamed: 1,Number of Openings
4540,Fort Drum, New York,5
4542,Darien, Illinois,2
4544,Saint Cloud, Minnesota,1
4545,Zutendaal, Belgium,1
4562,Saint Augustine, Florida,1
4564,Normal, Illinois,1
4566,Westfield, Massachusetts,6
4569,Camp Henry, South Korea,1
4570,Aiea, Hawaii,1
4571,Panama City, Florida,3
4582,Eygelshoven, Netherlands,1
4585,Herlong Sierra Ordnance Depot, California,4
4587,Naval Support Activity, Mechanicsburg Detach.,27
4590,Fairbanks, Alaska,3
5447,Umatilla, Oregon,1
5481,Camp J T Robinson, Arkansas,4
5482,Salina, Kansas,2
5485,Carderock Springs, Maryland,2
5491,Scotia, New York,4
5498,Bismarck, North Dakota,4
5499,Florence, Arizona,7
5515,Frederick, Maryland,2
5520,Sequoia National Park, California,4
5529,Altus AFB, Oklahoma,9
5534,Orlando Naval Warfare Center, Florida,5
5551,Vandenberg AFB, California,2
5553,Warren AFB, Wyoming,2
5554,Lawton, Oklahoma,4
5563,Ashland, Kentucky,2
5565,MacDill AFB, Florida,7
5566,Pueblo, Colorado,8
5573,Rickenbacker AFB, Ohio,4
5575,Eielson AFB, Alaska,2
5577,Kunsan, South Korea,2
5578,Fayetteville, Arkansas,8
5580,Sioux City, Iowa,2
5583,Mansfield, Ohio,2
5598,Longmont, Colorado,6
5603,Fort Wayne, Indiana,4
5607,Lihue, Hawaii,4
5615,Whiteman AFB, Missouri,4
5621,Stewart AFB, New York,2
5622,Riverdale, Maryland,2
5629,Garden City, Georgia,5
5634,Kingsley Field, Oregon,4
5877,Rancho Cordova, California,2
5880,West Jordan, Utah,2
5889,Williamstown, West Virginia,2
5890,North Kingstown, Rhode Island,2
5893,Hilliard, Florida,6
5915,Weldon Spring, Missouri,2
6018,Kailua Kona, Hawaii,4
6020,Fort Benning, Georgia,5
6026,Auburn, Washington,2
6028,Gardner, Kansas,2
6040,Tallahassee, Florida,2
6042,Westbury, New York,2
6045,Marion, Illinois,4
6046,Littleton, Colorado,2
6047,Fort Devens, Massachusetts,2
6074,Adams County, Pennsylvania,3
6078,Peterson AFB, Colorado,4
6081,Saint Joseph, Missouri,2
6097,Bronx, New York,4
6099,East Orange, New Jersey,4
6110,Rochester, New York,2
6112,Merrimack, New Hampshire,2
6113,Coraopolis, Pennsylvania,2
6117,Portland, Maine,35
6123,Concord, New Hampshire,31
6356,Lubbock, Texas,4
6357,Midland, Texas,2
6359,White River Junction, Vermont,4
6395,Gregg Township, Pennsylvania,7
6396,Bennettsville, South Carolina,2
6525,Chinhae, South Korea,1
6526,Mountain Home AFB, Idaho,3
6527,Hurlburt Field, Florida,3
6532,McConnell AFB, Kansas,6
6535,Watertown, South Dakota,2
7350,Beaufort, South Carolina,1
7352,Marine Corps Air Station Miramar, California,2
7372,Pollock, Louisiana,1
7373,Seagoville, Texas,2
7374,Lompoc, California,4
7375,Florence, Colorado,7
7376,Edgefield, South Carolina,1
7377,Miami-Dade County, Florida,1
7415,Panama City Naval Surface Warfare Center, Florida,2
7422,Ventura County, California,4
7430,Bishop, California,2
7435,Coleman, Florida,2
7451,Los Alamos, New Mexico,2
7454,Augusta, Georgia,15
7477,Destrehan, Louisiana,4
7480,Galveston, Texas,2
7491,Panama City, Panama,3
7492,Crow Agency, Montana,2
7510,Bath, New York,2
7526,Las Vegas, Nevada,2
7528,Colts Neck, New Jersey,2
7531,Shiprock, New Mexico,2
7537,Fort Campbell, Tennessee,16
7543,Homestead AFB, Florida,2
7548,Oceanside, California,4
7550,Goose Creek, South Carolina,2
7555,Winnemucca, Nevada,2
7557,Ajo, Arizona,4
7560,Fort Ben Harrison, Indiana,4
7562,Ringwood, Illinois,4
7570,Misawa AFB, Japan,2
7575,Cannon AFB, New Mexico,4
7581,Leeds, Massachusetts,3
7582,Temple, Texas,6
7584,Chambersburg, Pennsylvania,2
7593,Eugene, Oregon,2
7610,Schofield Barracks, Hawaii,5
7613,Middletown, Rhode Island,4
7619,Grand Junction, Colorado,3
7625,La Grande, Oregon,2
7626,Wahiawa, Hawaii,3
7627,Fredericksburg, Virginia,2
7631,Groton Submarine Base, Connecticut,5
7637,Fairview, Oregon,2
7642,Hillsboro, Oregon,2
7645,Columbus, Georgia,15
7648,Juneau, Alaska,8
7649,Middletown, Ohio,4
7650,Little Rock, Arkansas,2
7653,Albany, New York,4
7663,Southampton, New York,4
7665,Lockport, New York,4
7668,Tuskegee, Alabama,2
7684,Camp Blanding, Florida,2
7695,Sasebo Naval Base, Japan,4
7701,Tyndall AFB, Florida,2
7702,Jay, Oklahoma,2
7705,Appleton, Wisconsin,2
7710,Greenville, North Carolina,13
7712,Morehead City, North Carolina,2
7719,Butte, Montana,2
7721,Chillicothe, Ohio,4
7724,Spokane, Washington,4
7730,West Palm Beach, Florida,3
7736,Lyons, New Jersey,2
7741,Tongduchon, South Korea,2
7751,Prince George, Virginia,2
7752,Gladstone, Michigan,4
7774,Burlington, Vermont,3
7782,Jacksonville, North Carolina,25
7791,Dublin, Georgia,6
7796,Fayetteville, North Carolina,8
7802,Wilkes Barre, Pennsylvania,2
7806,Green Bay, Wisconsin,2
7816,Ramstein, Germany,2
7825,Manila, Philippines,2
7826,Albany, Georgia,4
7830,Sarajevo, Bosnia and Herzegovina,2
7849,Beaver, West Virginia,2
7852,Jonesville, Virginia,2
